Channel,SW Version,2020.1
Link 0,Date and Time Started,2025-Aug-09 19:00:34
Link 0,Date and Time Ended,2025-Aug-09 19:00:56
Link 0,Scan Name,Channel 0
Link 0,Link Settings,
Link 0,Reset RX After Applying Settings,false
Link 0,Open Area,4096
Link 0,Horizontal Opening,25
Link 0,Horizontal Percentage,44.44
Link 0,Vertical Opening,161
Link 0,Vertical Percentage,67.74
Link 0,Dwell,BER
Link 0,Dwell BER,1e-9
Link 0,Dwell Time,0
Link 0,Horizontal Increment,8
Link 0,Horizontal Range,-0.500 UI to 0.500 UI
Link 0,Vertical Increment,8
Link 0,Vertical Range,100%
Link 0,Misc Info,
Link 0,Scan Start
Link 0,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 0,120,0.249996,0.249996,0.190473,0.0615375,0.0506321,0.0740729,0.235291,0.249996,0.249996
Link 0,112,0.249996,0.249996,0.124998,0.0228568,0.0168065,0.0363631,0.235291,0.235291,0.249996
Link 0,104,0.249996,0.249996,0.062499,0.0053835,0.0031796,0.0137455,0.222219,0.235291,0.249996
Link 0,96,0.249996,0.249996,0.0212763,0.000561395,0.000245335,0.00373477,0.190473,0.235291,0.249996
Link 0,88,0.249996,0.222219,0.00572237,4.22175e-05,1.99865e-06,0.000818318,0.153844,0.235291,0.249996
Link 0,80,0.249996,0.190473,0.000883769,3.91161e-07,9.31337e-10,7.30756e-05,0.105262,0.249996,0.249996
Link 0,72,0.249996,0.12903,7.71712e-05,9.31337e-10,9.31337e-10,3.91348e-06,0.0634911,0.235291,0.235291
Link 0,64,0.249996,0.0816314,5.54425e-06,9.31337e-10,9.31337e-10,1.40632e-07,0.0330573,0.222219,0.249996
Link 0,56,0.249996,0.0459763,4.08857e-07,9.31337e-10,9.31337e-10,1.86267e-09,0.0156248,0.199997,0.249996
Link 0,48,0.249996,0.0216213,1.49014e-08,9.31337e-10,9.31337e-10,9.31337e-10,0.0057636,0.181815,0.249996
Link 0,40,0.235291,0.00775182,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00142906,0.133331,0.266663
Link 0,32,0.235291,0.00200901,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000241528,0.0784302,0.266663
Link 0,24,0.222219,0.000586415,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.28108e-05,0.0487797,0.266663
Link 0,16,0.235291,0.000150748,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.45458e-06,0.023121,0.28571
Link 0,8,0.210523,3.14177e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,2.01169e-07,0.00886904,0.28571
Link 0,0,0.210523,1.64753e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,2.11413e-07,0.00527696,0.266663
Link 0,-8,0.222219,2.50949e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,5.32725e-07,0.00638968,0.28571
Link 0,-16,0.210523,0.000118738,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,5.26485e-06,0.014981,0.28571
Link 0,-24,0.222219,0.000459499,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,3.15081e-05,0.0322576,0.249996
Link 0,-32,0.249996,0.00151284,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000154313,0.0579701,0.266663
Link 0,-40,0.235291,0.00552478,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000843691,0.102563,0.249996
Link 0,-48,0.235291,0.0165287,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00351488,0.159998,0.235291
Link 0,-56,0.266663,0.0404034,5.40175e-08,9.31337e-10,9.31337e-10,9.31337e-10,0.0105262,0.190473,0.235291
Link 0,-64,0.266663,0.0740729,1.74812e-06,9.31337e-10,9.31337e-10,8.0095e-08,0.0245395,0.222219,0.249996
Link 0,-72,0.249996,0.124998,3.02582e-05,9.31337e-10,9.31337e-10,1.64474e-06,0.0476183,0.235291,0.235291
Link 0,-80,0.249996,0.190473,0.000506193,3.72535e-09,9.31337e-10,3.30671e-05,0.0952366,0.235291,0.249996
Link 0,-88,0.249996,0.235291,0.00554008,5.38685e-06,5.21549e-08,0.000422692,0.148146,0.235291,0.249996
Link 0,-96,0.249996,0.249996,0.0243899,0.00029746,7.73817e-05,0.00281488,0.181815,0.235291,0.249996
Link 0,-104,0.249996,0.249996,0.0769219,0.00568981,0.00366631,0.0126982,0.222219,0.249996,0.249996
Link 0,-112,0.249996,0.249996,0.159998,0.0373826,0.0273968,0.0377353,0.249996,0.235291,0.249996
Link 0,-120,0.249996,0.249996,0.222219,0.105262,0.0833321,0.0799988,0.249996,0.249996,0.249996
Link 0,Scan End
Link 1,Date and Time Started,2025-Aug-09 19:00:56
Link 1,Date and Time Ended,2025-Aug-09 19:00:57
Link 1,Scan Name,Channel 1
Link 1,Link Settings,
Link 1,Reset RX After Applying Settings,false
Link 1,Open Area,0
Link 1,Horizontal Opening,0
Link 1,Horizontal Percentage,0.00
Link 1,Vertical Opening,0
Link 1,Vertical Percentage,0.00
Link 1,Dwell,BER
Link 1,Dwell BER,1e-9
Link 1,Dwell Time,0
Link 1,Horizontal Increment,8
Link 1,Horizontal Range,-0.500 UI to 0.500 UI
Link 1,Vertical Increment,8
Link 1,Vertical Range,100%
Link 1,Misc Info,
Link 1,Scan Start
Link 1,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 1,120,0.333328,0.399994,0.444438,0.399994,0.499992,0.399994,0.444438,0.499992,0.363631
