Channel,SW Version,2020.1
Link 0,Date and Time Started,2025-Aug-09 19:01:49
Link 0,Date and Time Ended,2025-Aug-09 19:02:11
Link 0,Scan Name,Channel 0
Link 0,Link Settings,
Link 0,Reset RX After Applying Settings,false
Link 0,Open Area,4160
Link 0,Horizontal Opening,25
Link 0,Horizontal Percentage,44.44
Link 0,Vertical Opening,161
Link 0,Vertical Percentage,67.74
Link 0,Dwell,BER
Link 0,Dwell BER,1e-9
Link 0,Dwell Time,0
Link 0,Horizontal Increment,8
Link 0,Horizontal Range,-0.500 UI to 0.500 UI
Link 0,Vertical Increment,8
Link 0,Vertical Range,100%
Link 0,Misc Info,
Link 0,Scan Start
Link 0,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 0,120,0.249996,0.249996,0.190473,0.0689645,0.0526308,0.0784302,0.235291,0.249996,0.249996
Link 0,112,0.249996,0.249996,0.12903,0.0256406,0.0193234,0.038461,0.249996,0.235291,0.249996
Link 0,104,0.249996,0.249996,0.0615375,0.0054644,0.00368319,0.0145983,0.222219,0.235291,0.249996
Link 0,96,0.249996,0.249996,0.0227269,0.000660274,0.000285282,0.00399594,0.199997,0.235291,0.249996
Link 0,88,0.249996,0.235291,0.00644113,5.34969e-05,2.80612e-06,0.000848343,0.159998,0.249996,0.249996
Link 0,80,0.249996,0.190473,0.000900887,5.20617e-07,9.31337e-10,8.4227e-05,0.111109,0.235291,0.249996
Link 0,72,0.249996,0.133331,7.95311e-05,9.31337e-10,9.31337e-10,4.40615e-06,0.0645151,0.235291,0.235291
Link 0,64,0.249996,0.0816314,6.33123e-06,9.31337e-10,9.31337e-10,1.96512e-07,0.0341875,0.222219,0.249996
Link 0,56,0.249996,0.0470581,4.3866e-07,9.31337e-10,9.31337e-10,1.86267e-09,0.0162599,0.199997,0.266663
Link 0,48,0.235291,0.0227269,1.39701e-08,9.31337e-10,9.31337e-10,9.31337e-10,0.006024,0.181815,0.266663
Link 0,40,0.235291,0.00814652,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00159551,0.133331,0.249996
Link 0,32,0.235291,0.00215282,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000273743,0.0851051,0.249996
Link 0,24,0.235291,0.000638254,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.34105e-05,0.048192,0.266663
Link 0,16,0.235291,0.000160963,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.9603e-06,0.0233915,0.28571
