SW Version,Date and Time Started,Date and Time Ended,Scan Name,Link Settings,Reset RX After Applying Settings,Open Area,Horizontal Opening,Horizontal Percentage,Vertical Opening,Vertical Percentage,Dwell,Dwell BER,Dwell Time,Horizontal Increment,Horizontal Range,Vertical Increment,Vertical Range
2020.1,2025-Aug-09 19:01:49,2025-Aug-09 19:02:11,Channel 0,,false,4160,25,44.44,161,67.74,BER,1e-9,0,8,-0.500 UI to 0.500 UI,8,100%
2020.1,2025-Aug-09 19:02:11,2025-Aug-09 19:02:12,Channel 1,,false,0,0,0.00,0,0.00,BER,1e-9,0,8,-0.500 UI to 0.500 UI,8,100%
2020.1,2025-Aug-09 19:02:12,2025-Aug-09 19:02:13,Channel 2,,false,0,0,0.00,0,0.00,BER,1e-9,0,8,-0.500 UI to 0.500 UI,8,100%
2020.1,2025-Aug-09 19:02:13,2025-Aug-09 19:02:14,Channel 3,,false,0,0,0.00,0,0.00,BER,1e-9,0,8,-0.500 UI to 0.500 UI,8,100%
