Channel,SW Version,2020.1
Link 0,Date and Time Started,2025-Aug-09 19:01:24
Link 0,Date and Time Ended,2025-Aug-09 19:01:46
Link 0,Scan Name,Channel 0
Link 0,Link Settings,
Link 0,Reset RX After Applying Settings,false
Link 0,Open Area,4096
Link 0,Horizontal Opening,25
Link 0,Horizontal Percentage,44.44
Link 0,Vertical Opening,161
Link 0,Vertical Percentage,67.74
Link 0,Dwell,BER
Link 0,Dwell BER,1e-9
Link 0,Dwell Time,0
Link 0,Horizontal Increment,8
Link 0,Horizontal Range,-0.500 UI to 0.500 UI
Link 0,Vertical Increment,8
Link 0,Vertical Range,100%
Link 0,Misc Info,
Link 0,Scan Start
Link 0,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 0,120,0.249996,0.249996,0.190473,0.0645151,0.0519473,0.0769219,0.249996,0.249996,0.249996
Link 0,112,0.249996,0.249996,0.12903,0.0245395,0.0193234,0.0380947,0.249996,0.235291,0.249996
Link 0,104,0.249996,0.249996,0.062499,0.00514131,0.00331395,0.0143883,0.222219,0.235291,0.249996
Link 0,96,0.249996,0.249996,0.0216213,0.000612548,0.000252617,0.0038461,0.199997,0.235291,0.249996
Link 0,88,0.249996,0.235291,0.00644113,4.67205e-05,2.12904e-06,0.000810032,0.159998,0.249996,0.249996
Link 0,80,0.249996,0.181815,0.00086635,4.09788e-07,9.31337e-10,7.61951e-05,0.105262,0.235291,0.249996
Link 0,72,0.249996,0.133331,6.96186e-05,9.31337e-10,9.31337e-10,4.46203e-06,0.0634911,0.249996,0.235291
Link 0,64,0.249996,0.0816314,5.97918e-06,9.31337e-10,9.31337e-10,1.62984e-07,0.0344822,0.222219,0.249996
Link 0,56,0.249996,0.0476183,3.63221e-07,9.31337e-10,9.31337e-10,1.86267e-09,0.0164607,0.222219,0.249996
Link 0,48,0.235291,0.0218576,5.58802e-09,9.31337e-10,9.31337e-10,9.31337e-10,0.00622074,0.17391,0.249996
Link 0,40,0.235291,0.00773683,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00152321,0.137929,0.249996
Link 0,32,0.235291,0.00203043,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000250027,0.0833321,0.249996
Link 0,24,0.222219,0.000606419,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.18496e-05,0.0487797,0.266663
Link 0,16,0.235291,0.000164464,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.77962e-06,0.0232555,0.266663
Link 0,8,0.210523,3.30308e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,1.82542e-07,0.00884942,0.28571
Link 0,0,0.210523,1.63254e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,1.94649e-07,0.0053835,0.28571
Link 0,-8,0.199997,2.53556e-05,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,5.18755e-07,0.00630905,0.28571
Link 0,-16,0.210523,0.00011769,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,4.82153e-06,0.0150941,0.28571
Link 0,-24,0.222219,0.00043421,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,3.29619e-05,0.0325198,0.249996
Link 0,-32,0.249996,0.00144716,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000154087,0.0606051,0.249996
Link 0,-40,0.235291,0.00555547,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.000864291,0.102563,0.266663
Link 0,-48,0.235291,0.0159998,9.31337e-10,9.31337e-10,9.31337e-10,9.31337e-10,0.00352728,0.159998,0.249996
Link 0,-56,0.235291,0.0377353,4.65668e-08,9.31337e-10,9.31337e-10,9.31337e-10,0.0102826,0.199997,0.235291
Link 0,-64,0.249996,0.0754705,1.55999e-06,9.31337e-10,9.31337e-10,7.26443e-08,0.0238092,0.222219,0.249996
Link 0,-72,0.249996,0.12903,3.02303e-05,9.31337e-10,9.31337e-10,1.80307e-06,0.048192,0.249996,0.235291
Link 0,-80,0.249996,0.190473,0.000528813,1.21074e-08,9.31337e-10,3.27104e-05,0.0930218,0.235291,0.249996
Link 0,-88,0.249996,0.235291,0.00564166,5.83482e-06,3.91161e-08,0.000436722,0.148146,0.235291,0.249996
Link 0,-96,0.249996,0.249996,0.0251568,0.00027643,8.64272e-05,0.00293036,0.181815,0.249996,0.249996
Link 0,-104,0.249996,0.249996,0.0799988,0.00606051,0.00388344,0.0132888,0.222219,0.235291,0.249996
Link 0,-112,0.249996,0.249996,0.153844,0.0370365,0.0279716,0.0380947,0.249996,0.235291,0.249996
Link 0,-120,0.249996,0.249996,0.222219,0.0999985,0.0816314,0.0816314,0.249996,0.249996,0.249996
Link 0,Scan End
Link 1,Date and Time Started,2025-Aug-09 19:01:46
Link 1,Date and Time Ended,2025-Aug-09 19:01:47
Link 1,Scan Name,Channel 1
Link 1,Link Settings,
Link 1,Reset RX After Applying Settings,false
Link 1,Open Area,0
Link 1,Horizontal Opening,0
Link 1,Horizontal Percentage,0.00
Link 1,Vertical Opening,0
Link 1,Vertical Percentage,0.00
Link 1,Dwell,BER
Link 1,Dwell BER,1e-9
Link 1,Dwell Time,0
Link 1,Horizontal Increment,8
Link 1,Horizontal Range,-0.500 UI to 0.500 UI
Link 1,Vertical Increment,8
Link 1,Vertical Range,100%
Link 1,Misc Info,
Link 1,Scan Start
Link 1,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 1,120,0.333328,0.399994,0.499992,0.399994,0.499992,0.499992,0.499992,0.57142,0.333328
Link 1,112,0.333328,0.444438,0.399994,0.363631,0.57142,0.399994,0.444438,0.499992,0.363631
Link 1,104,0.333328,0.444438,0.444438,0.333328,0.499992,0.444438,0.399994,0.444438,0.363631
Link 1,96,0.363631,0.444438,0.399994,0.399994,0.57142,0.499992,0.444438,0.499992,0.363631
Link 1,88,0.333328,0.399994,0.444438,0.363631,0.57142,0.399994,0.399994,0.499992,0.399994
Link 1,80,0.399994,0.499992,0.399994,0.399994,0.499992,0.399994,0.444438,0.499992,0.333328
Link 1,72,0.363631,0.444438,0.399994,0.363631,0.499992,0.499992,0.399994,0.499992,0.363631
Link 1,64,0.399994,0.444438,0.499992,0.399994,0.444438,0.399994,0.444438,0.499992,0.444438
Link 1,56,0.363631,0.444438,0.399994,0.444438,0.444438,0.444438,0.499992,0.499992,0.399994
Link 1,48,0.444438,0.399994,0.444438,0.444438,0.444438,0.399994,0.444438,0.499992,0.444438
Link 1,40,0.399994,0.399994,0.444438,0.444438,0.444438,0.444438,0.399994,0.499992,0.399994
Link 1,32,0.444438,0.399994,0.444438,0.444438,0.399994,0.444438,0.444438,0.444438,0.399994
Link 1,24,0.444438,0.444438,0.444438,0.399994,0.399994,0.444438,0.399994,0.499992,0.399994
Link 1,16,0.399994,0.399994,0.399994,0.444438,0.399994,0.444438,0.444438,0.444438,0.444438
Link 1,8,0.399994,0.444438,0.444438,0.399994,0.399994,0.444438,0.444438,0.444438,0.399994
Link 1,0,0.444438,0.399994,0.399994,0.399994,0.399994,0.399994,0.444438,0.444438,0.499992
Link 1,-8,0.363631,0.333328,0.307688,0.333328,0.307688,0.307688,0.363631,0.333328,0.363631
Link 1,-16,0.499992,0.444438,0.499992,0.499992,0.499992,0.499992,0.444438,0.57142,0.499992
Link 1,-24,0.57142,0.57142,0.57142,0.499992,0.57142,0.57142,0.666656,0.57142,0.57142
Link 1,-32,0.499992,0.666656,0.57142,0.499992,0.499992,0.57142,0.57142,0.57142,0.57142
Link 1,-40,0.57142,0.666656,0.499992,0.57142,0.666656,0.499992,0.57142,0.666656,0.499992
Link 1,-48,0.499992,0.57142,0.57142,0.499992,0.666656,0.499992,0.57142,0.57142,0.57142
Link 1,-56,0.499992,0.499992,0.666656,0.499992,0.499992,0.57142,0.57142,0.57142,0.57142
Link 1,-64,0.444438,0.57142,0.666656,0.499992,0.57142,0.57142,0.57142,0.666656,0.499992
Link 1,-72,0.444438,0.57142,0.666656,0.499992,0.666656,0.57142,0.499992,0.57142,0.499992
Link 1,-80,0.499992,0.57142,0.57142,0.57142,0.666656,0.499992,0.57142,0.666656,0.499992
Link 1,-88,0.444438,0.499992,0.666656,0.499992,0.57142,0.57142,0.499992,0.666656,0.444438
Link 1,-96,0.499992,0.666656,0.499992,0.57142,0.666656,0.57142,0.499992,0.666656,0.499992
Link 1,-104,0.444438,0.666656,0.57142,0.499992,0.57142,0.499992,0.666656,0.57142,0.444438
Link 1,-112,0.499992,0.57142,0.57142,0.499992,0.57142,0.666656,0.499992,0.666656,0.444438
Link 1,-120,0.499992,0.57142,0.499992,0.57142,0.666656,0.499992,0.666656,0.57142,0.499992
Link 1,Scan End
Link 2,Date and Time Started,2025-Aug-09 19:01:47
Link 2,Date and Time Ended,2025-Aug-09 19:01:48
Link 2,Scan Name,Channel 2
Link 2,Link Settings,
Link 2,Reset RX After Applying Settings,false
Link 2,Open Area,0
Link 2,Horizontal Opening,0
Link 2,Horizontal Percentage,0.00
Link 2,Vertical Opening,0
Link 2,Vertical Percentage,0.00
Link 2,Dwell,BER
Link 2,Dwell BER,1e-9
Link 2,Dwell Time,0
Link 2,Horizontal Increment,8
Link 2,Horizontal Range,-0.500 UI to 0.500 UI
Link 2,Vertical Increment,8
Link 2,Vertical Range,100%
Link 2,Misc Info,
Link 2,Scan Start
Link 2,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 2,120,0.57142,0.666656,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.666656
Link 2,112,0.666656,0.799988,0.799988,0.799988,0.999985,0.666656,0.799988,0.799988,0.666656
Link 2,104,0.666656,0.799988,0.666656,0.666656,0.799988,0.666656,0.799988,0.999985,0.666656
Link 2,96,0.666656,0.666656,0.666656,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988
Link 2,88,0.57142,0.799988,0.666656,0.799988,0.799988,0.666656,0.799988,0.999985,0.666656
Link 2,80,0.666656,0.666656,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,72,0.666656,0.666656,0.799988,0.799988,0.666656,0.799988,0.666656,0.799988,0.799988
Link 2,64,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,56,0.666656,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,48,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988
Link 2,40,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988
Link 2,32,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,24,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,16,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988
Link 2,8,0.666656,0.499992,0.57142,0.499992,0.499992,0.444438,0.57142,0.499992,0.666656
Link 2,0,0.28571,0.266663,0.235291,0.222219,0.199997,0.199997,0.222219,0.266663,0.307688
Link 2,-8,0.333328,0.307688,0.28571,0.249996,0.266663,0.249996,0.28571,0.28571,0.363631
Link 2,-16,0.266663,0.249996,0.266663,0.249996,0.235291,0.249996,0.235291,0.249996,0.266663
Link 2,-24,0.266663,0.235291,0.249996,0.249996,0.249996,0.235291,0.266663,0.235291,0.249996
Link 2,-32,0.249996,0.28571,0.266663,0.235291,0.266663,0.235291,0.266663,0.249996,0.249996
Link 2,-40,0.249996,0.28571,0.266663,0.249996,0.28571,0.28571,0.249996,0.266663,0.235291
Link 2,-48,0.235291,0.28571,0.266663,0.235291,0.266663,0.249996,0.249996,0.249996,0.266663
Link 2,-56,0.249996,0.249996,0.266663,0.249996,0.307688,0.235291,0.249996,0.266663,0.222219
Link 2,-64,0.222219,0.266663,0.266663,0.249996,0.28571,0.235291,0.266663,0.28571,0.235291
Link 2,-72,0.235291,0.266663,0.266663,0.249996,0.28571,0.249996,0.235291,0.266663,0.235291
Link 2,-80,0.235291,0.235291,0.266663,0.249996,0.307688,0.249996,0.266663,0.28571,0.235291
Link 2,-88,0.210523,0.235291,0.307688,0.222219,0.307688,0.249996,0.249996,0.266663,0.199997
Link 2,-96,0.199997,0.235291,0.249996,0.210523,0.333328,0.235291,0.222219,0.266663,0.190473
Link 2,-104,0.166664,0.235291,0.249996,0.235291,0.333328,0.235291,0.222219,0.266663,0.199997
Link 2,-112,0.181815,0.249996,0.249996,0.199997,0.307688,0.235291,0.249996,0.266663,0.17391
Link 2,-120,0.181815,0.249996,0.235291,0.222219,0.333328,0.235291,0.249996,0.307688,0.166664
Link 2,Scan End
Link 3,Date and Time Started,2025-Aug-09 19:01:48
Link 3,Date and Time Ended,2025-Aug-09 19:01:49
Link 3,Scan Name,Channel 3
Link 3,Link Settings,
Link 3,Reset RX After Applying Settings,false
Link 3,Open Area,0
Link 3,Horizontal Opening,0
Link 3,Horizontal Percentage,0.00
Link 3,Vertical Opening,0
Link 3,Vertical Percentage,0.00
Link 3,Dwell,BER
Link 3,Dwell BER,1e-9
Link 3,Dwell Time,0
Link 3,Horizontal Increment,8
Link 3,Horizontal Range,-0.500 UI to 0.500 UI
Link 3,Vertical Increment,8
Link 3,Vertical Range,100%
Link 3,Misc Info,
Link 3,Scan Start
Link 3,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 3,120,0.363631,0.499992,0.57142,0.499992,0.57142,0.499992,0.57142,0.666656,0.444438
Link 3,112,0.363631,0.57142,0.444438,0.57142,0.499992,0.57142,0.499992,0.666656,0.399994
Link 3,104,0.444438,0.499992,0.499992,0.499992,0.57142,0.499992,0.57142,0.666656,0.399994
Link 3,96,0.444438,0.57142,0.57142,0.499992,0.666656,0.499992,0.57142,0.666656,0.399994
Link 3,88,0.444438,0.499992,0.444438,0.57142,0.499992,0.57142,0.57142,0.666656,0.444438
Link 3,80,0.399994,0.57142,0.499992,0.499992,0.499992,0.57142,0.499992,0.57142,0.444438
Link 3,72,0.444438,0.57142,0.57142,0.499992,0.57142,0.499992,0.499992,0.499992,0.499992
Link 3,64,0.444438,0.499992,0.57142,0.499992,0.57142,0.499992,0.57142,0.57142,0.444438
Link 3,56,0.499992,0.499992,0.499992,0.499992,0.57142,0.57142,0.57142,0.57142,0.444438
Link 3,48,0.444438,0.444438,0.499992,0.57142,0.499992,0.57142,0.499992,0.499992,0.499992
Link 3,40,0.444438,0.499992,0.444438,0.499992,0.57142,0.499992,0.499992,0.666656,0.444438
Link 3,32,0.499992,0.57142,0.499992,0.499992,0.499992,0.499992,0.499992,0.57142,0.499992
Link 3,24,0.499992,0.57142,0.57142,0.444438,0.57142,0.499992,0.499992,0.499992,0.57142
Link 3,16,0.499992,0.499992,0.499992,0.499992,0.499992,0.499992,0.499992,0.499992,0.499992
Link 3,8,0.363631,0.333328,0.249996,0.190473,0.153844,0.17391,0.235291,0.28571,0.333328
Link 3,0,0.499992,0.399994,0.444438,0.444438,0.399994,0.399994,0.399994,0.399994,0.499992
Link 3,-8,0.499992,0.444438,0.399994,0.399994,0.399994,0.399994,0.363631,0.444438,0.399994
Link 3,-16,0.499992,0.499992,0.444438,0.499992,0.399994,0.499992,0.499992,0.399994,0.499992
Link 3,-24,0.444438,0.444438,0.499992,0.499992,0.499992,0.444438,0.399994,0.499992,0.499992
Link 3,-32,0.499992,0.499992,0.499992,0.444438,0.499992,0.399994,0.499992,0.444438,0.499992
Link 3,-40,0.444438,0.499992,0.444438,0.399994,0.499992,0.499992,0.444438,0.444438,0.444438
Link 3,-48,0.399994,0.444438,0.499992,0.499992,0.444438,0.444438,0.499992,0.499992,0.399994
Link 3,-56,0.444438,0.499992,0.499992,0.444438,0.499992,0.499992,0.444438,0.499992,0.399994
Link 3,-64,0.444438,0.499992,0.57142,0.444438,0.499992,0.444438,0.499992,0.57142,0.399994
Link 3,-72,0.399994,0.444438,0.444438,0.499992,0.57142,0.444438,0.499992,0.499992,0.444438
Link 3,-80,0.399994,0.444438,0.499992,0.499992,0.499992,0.444438,0.444438,0.444438,0.399994
Link 3,-88,0.363631,0.444438,0.57142,0.399994,0.57142,0.444438,0.499992,0.499992,0.399994
Link 3,-96,0.333328,0.499992,0.499992,0.444438,0.57142,0.499992,0.499992,0.499992,0.333328
Link 3,-104,0.333328,0.499992,0.499992,0.444438,0.499992,0.499992,0.499992,0.499992,0.363631
Link 3,-112,0.333328,0.444438,0.499992,0.444438,0.57142,0.499992,0.499992,0.499992,0.333328
Link 3,-120,0.333328,0.499992,0.499992,0.399994,0.499992,0.444438,0.499992,0.57142,0.333328
Link 3,Scan End
