Channel,SW Version,2020.1
Link 0,Date and Time Started,2025-Aug-09 19:00:59
Link 0,Date and Time Ended,2025-Aug-09 19:01:21
Link 0,Scan Name,Channel 0
Link 0,Link Settings,
Link 0,Reset RX After Applying Settings,false
Link 0,Open Area,4224
Link 0,Horizontal Opening,25
Link 0,Horizontal Percentage,44.44
Link 0,Vertical Opening,161
Link 0,Vertical Percentage,67.74
Link 0,Dwell,BER
Link 0,Dwell BER,1e-9
Link 0,Dwell Time,0
Link 0,Horizontal Increment,8
Link 0,Horizontal Range,-0.500 UI to 0.500 UI
Link 0,Vertical Increment,8
Link 0,Vertical Range,100%
Link 0,Misc Info,
Link 0,Scan Start
Link 1,112,0.307688,0.444438,0.444438,0.444438,0.499992,0.444438,0.499992,0.499992,0.399994
Link 1,104,0.333328,0.444438,0.444438,0.444438,0.499992,0.499992,0.444438,0.444438,0.363631
Link 1,96,0.363631,0.399994,0.444438,0.399994,0.499992,0.444438,0.499992,0.444438,0.363631
Link 1,88,0.363631,0.444438,0.444438,0.363631,0.499992,0.499992,0.399994,0.499992,0.399994
Link 1,80,0.333328,0.444438,0.399994,0.363631,0.499992,0.399994,0.444438,0.499992,0.399994
Link 1,72,0.363631,0.444438,0.444438,0.444438,0.499992,0.499992,0.499992,0.499992,0.399994
Link 1,64,0.363631,0.399994,0.444438,0.444438,0.444438,0.444438,0.499992,0.444438,0.444438
Link 1,56,0.333328,0.444438,0.399994,0.363631,0.499992,0.444438,0.399994,0.399994,0.399994
Link 1,48,0.399994,0.444438,0.444438,0.399994,0.444438,0.399994,0.399994,0.499992,0.444438
Link 1,40,0.444438,0.444438,0.399994,0.444438,0.444438,0.444438,0.399994,0.57142,0.399994
Link 1,32,0.444438,0.444438,0.399994,0.444438,0.444438,0.399994,0.444438,0.499992,0.399994
Link 1,24,0.444438,0.444438,0.399994,0.499992,0.444438,0.444438,0.399994,0.499992,0.444438
Link 1,16,0.399994,0.444438,0.444438,0.444438,0.444438,0.444438,0.444438,0.444438,0.399994
Link 1,8,0.444438,0.444438,0.444438,0.399994,0.444438,0.499992,0.399994,0.444438,0.499992
Link 1,0,0.444438,0.399994,0.399994,0.444438,0.399994,0.444438,0.399994,0.499992,0.444438
Link 1,-8,0.363631,0.333328,0.307688,0.307688,0.307688,0.28571,0.307688,0.307688,0.363631
Link 1,-16,0.57142,0.499992,0.499992,0.444438,0.499992,0.499992,0.57142,0.499992,0.499992
Link 1,-24,0.499992,0.666656,0.57142,0.499992,0.666656,0.499992,0.57142,0.666656,0.499992
